date,CA_unemployment,CA_unemployment benefits,CA_File for unemployment,NV_unemployment,NV_unemployment benefits,NV_File for unemployment,MI_unemployment,MI_unemployment benefits,MI_File for unemployment
2006-01-01,6,4,2,3,0,0,3,0,0
2006-02-01,6,4,3,2,0,0,3,0,0
2006-03-01,6,4,0,2,0,0,3,0,0
2006-04-01,5,4,0,2,0,0,3,0,0
2006-05-01,5,3,2,2,0,0,3,5,0
2006-06-01,6,4,2,2,0,0,3,0,0
2006-07-01,5,5,0,3,0,0,3,4,0
2006-08-01,5,4,2,2,0,0,3,0,0
2006-09-01,5,4,0,2,0,0,3,0,0
2006-10-01,5,5,2,3,0,0,3,6,0
2006-11-01,6,4,0,3,0,0,3,7,0
2006-12-01,5,5,0,3,0,0,3,5,0
2007-01-01,6,5,3,3,0,0,4,3,0
2007-02-01,5,4,0,3,15,0,3,5,0
2007-03-01,5,6,2,3,0,0,3,3,0
2007-04-01,5,5,0,3,0,0,3,4,0
2007-05-01,5,5,2,3,0,0,2,5,0
2007-06-01,5,5,2,3,0,0,3,4,0
2007-07-01,5,6,2,3,0,0,3,6,0
2007-08-01,6,6,1,3,0,0,3,7,0
2007-09-01,5,6,1,3,0,0,3,3,0
2007-10-01,6,6,2,3,0,0,3,6,0
2007-11-01,6,6,3,3,0,0,3,5,3
2007-12-01,6,6,3,4,0,0,3,6,0
2008-01-01,7,9,3,4,10,0,3,6,0
2008-02-01,6,7,3,4,0,0,3,5,0
2008-03-01,6,7,3,4,0,0,3,6,0
2008-04-01,6,8,3,4,12,0,3,7,0
2008-05-01,6,8,2,4,11,0,3,10,0
2008-06-01,7,10,3,4,13,0,4,12,0
2008-07-01,7,9,4,5,9,0,5,11,0
2008-08-01,7,8,4,6,16,12,3,7,0
2008-09-01,8,11,3,6,20,0,4,11,3
2008-10-01,9,14,4,6,23,0,5,12,0
2008-11-01,10,19,4,10,34,13,6,18,3
2008-12-01,12,14,5,11,26,9,8,20,6
2009-01-01,15,24,7,12,32,11,10,21,3
2009-02-01,15,23,6,12,40,0,8,21,4
2009-03-01,14,17,6,12,31,0,8,16,3
2009-04-01,12,15,6,12,22,0,8,16,3
2009-05-01,10,11,5,11,21,0,8,17,3
2009-06-01,12,13,7,11,22,0,8,12,4
2009-07-01,12,13,6,11,26,0,9,17,4
2009-08-01,11,14,5,12,25,0,7,18,0
2009-09-01,12,14,4,12,33,8,7,17,3
2009-10-01,13,18,4,12,33,0,9,19,0
2009-11-01,12,16,3,14,37,0,9,19,5
2009-12-01,12,12,4,13,23,0,8,12,3
2010-01-01,12,11,5,14,23,9,8,14,4
2010-02-01,11,13,5,13,35,0,9,21,4
2010-03-01,12,16,4,12,25,0,9,22,3
2010-04-01,11,15,4,12,14,0,8,15,3
2010-05-01,10,11,3,12,16,9,7,12,0
2010-06-01,14,19,3,18,35,0,12,29,3
2010-07-01,16,23,4,19,43,0,14,32,4
2010-08-01,9,9,3,15,27,0,7,10,4
2010-09-01,8,7,3,11,22,0,5,7,3
2010-10-01,8,7,3,11,13,0,5,7,2
2010-11-01,9,9,4,11,21,7,7,12,0
2010-12-01,11,13,3,13,26,0,10,20,4
2011-01-01,14,11,8,14,15,0,8,10,5
2011-02-01,12,9,6,10,15,6,6,7,4
2011-03-01,11,10,6,9,12,7,5,10,2
2011-04-01,11,9,6,9,11,5,5,9,2
2011-05-01,11,9,5,9,9,5,5,7,4
2011-06-01,11,9,6,9,10,9,5,8,4
2011-07-01,11,9,5,10,11,6,5,6,3
2011-08-01,12,13,5,9,13,6,5,8,3
2011-09-01,12,11,5,9,9,0,4,6,3
2011-10-01,12,9,6,9,12,5,4,6,3
2011-11-01,11,9,5,8,8,12,5,7,3
2011-12-01,12,11,5,7,14,5,5,8,3
2012-01-01,13,9,7,9,11,7,6,7,4
2012-02-01,11,9,5,9,12,0,5,9,3
2012-03-01,10,8,4,7,7,0,4,6,2
2012-04-01,11,8,5,8,6,0,4,5,2
2012-05-01,11,9,5,7,7,4,4,6,3
