date,Michigan_Unemployment_Index
2017-01-01,2.0
2017-01-08,2.0
2017-01-15,2.0
2017-01-22,2.0
2017-01-29,2.0
2017-02-05,0.0
2017-02-12,1.0
2017-02-19,0.0
2017-02-26,1.0
2017-03-05,0.0
2017-03-12,1.0
2017-03-19,1.0
2017-03-26,1.0
2017-04-02,1.0
2017-04-09,2.0
2017-04-16,0.0
2017-04-23,1.0
2017-04-30,0.0
2017-05-07,1.0
2017-05-14,1.0
2017-05-21,1.0
2017-05-28,1.0
2017-06-04,1.0
2017-06-11,2.0
2017-06-18,2.0
2017-06-25,2.0
2017-07-02,1.0
2017-07-09,1.0
2017-07-16,1.0
2017-07-23,1.0
2017-07-30,0.0
2017-08-06,2.0
2017-08-13,1.0
2017-08-20,1.0
2017-08-27,0.0
2017-09-03,1.0
2017-09-10,1.0
2017-09-17,1.0
2017-09-24,1.0
2017-10-01,1.0
2017-10-08,1.0
2017-10-15,1.0
2017-10-22,1.0
2017-10-29,2.0
2017-11-05,1.0
2017-11-12,1.0
2017-11-19,1.0
2017-11-26,2.0
2017-12-03,1.0
2017-12-10,2.0
2017-12-17,2.0
2017-12-24,2.0
2017-12-31,2.0
2018-01-07,2.0
2018-01-14,2.0
2018-01-21,2.0
2018-01-28,2.0
2018-02-04,1.0
2018-02-11,1.0
2018-02-18,1.0
2018-02-25,1.0
2018-03-04,1.0
2018-03-11,1.0
2018-03-18,1.0
2018-03-25,1.0
2018-04-01,0.0
2018-04-08,2.0
2018-04-15,1.0
2018-04-22,1.0
2018-04-29,1.0
2018-05-06,1.0
2018-05-13,0.0
2018-05-20,0.0
2018-05-27,1.0
2018-06-03,0.0
2018-06-10,0.0
2018-06-17,1.0
2018-06-24,1.0
2018-07-01,1.0
2018-07-08,1.0
2018-07-15,1.0
2018-07-22,1.0
2018-07-29,2.0
2018-08-05,1.0
2018-08-12,1.0
2018-08-19,1.0
2018-08-26,0.0
2018-09-02,1.0
2018-09-09,1.0
2018-09-16,1.0
2018-09-23,2.0
2018-09-30,1.0
2018-10-07,0.0
2018-10-14,1.0
2018-10-21,1.0
2018-10-28,2.0
2018-11-04,2.0
2018-11-11,1.0
2018-11-18,2.0
2018-11-25,2.0
2018-12-02,2.0
2018-12-09,1.0
2018-12-16,2.0
2018-12-23,1.0
2018-12-30,3.0
2019-01-06,2.0
2019-01-13,3.0
2019-01-20,2.0
2019-01-27,2.0
2019-02-03,2.0
2019-02-10,1.0
2019-02-17,1.0
2019-02-24,2.0
2019-03-03,2.0
2019-03-10,1.0
2019-03-17,1.0
2019-03-24,2.0
2019-03-31,0.0
2019-04-07,2.0
2019-04-14,1.0
2019-04-21,1.0
2019-04-28,1.0
2019-05-05,1.0
2019-05-12,1.0
2019-05-19,1.0
2019-05-26,1.0
2019-06-02,1.0
2019-06-09,1.0
2019-06-16,2.0
2019-06-23,2.0
2019-06-30,2.0
2019-07-07,1.0
2019-07-14,2.0
2019-07-21,2.0
2019-07-28,2.0
2019-08-04,1.0
2019-08-11,1.0
2019-08-18,0.0
2019-08-25,1.0
2019-09-01,0.0
2019-09-08,0.0
2019-09-15,2.0
2019-09-22,2.0
2019-09-29,1.0
2019-10-06,2.0
2019-10-13,2.0
2019-10-20,1.0
2019-10-27,2.0
2019-11-03,2.0
2019-11-10,2.0
2019-11-17,2.0
2019-11-24,1.0
2019-12-01,2.0
2019-12-08,2.0
2019-12-15,2.0
2019-12-22,3.0
2019-12-29,2.0
2020-01-05,2.0
2020-01-12,1.0
2020-01-19,2.0
2020-01-26,2.0
2020-02-02,2.0
2020-02-09,1.0
2020-02-16,1.0
2020-02-23,2.0
2020-03-01,1.0
2020-03-08,2.0
2020-03-15,42.0
2020-03-22,100.0
2020-03-29,98.0
2020-04-05,63.0
2020-04-12,48.0
2020-04-19,34.0
2020-04-26,32.0
2020-05-03,28.0
2020-05-10,28.0
2020-05-17,24.0
2020-05-24,20.0
2020-05-31,18.0
2020-06-07,13.0
2020-06-14,14.0
2020-06-21,14.0
2020-06-28,13.0
2020-07-05,12.0
2020-07-12,11.0
2020-07-19,10.0
2020-07-26,8.0
2020-08-02,7.0
2020-08-09,9.0
2020-08-16,6.0
2020-08-23,7.0
2020-08-30,6.0
2020-09-06,6.0
2020-09-13,6.0
2020-09-20,7.0
2020-09-27,6.0
2020-10-04,5.0
2020-10-11,5.0
2020-10-18,4.0
2020-10-25,5.0
2020-11-01,4.0
2020-11-08,6.0
2020-11-15,8.0
2020-11-22,5.0
2020-11-29,6.0
2020-12-06,7.0
2020-12-13,6.0
2020-12-20,8.0
2020-12-27,11.0
2021-01-03,9.0
2021-01-10,10.0
2021-01-17,8.0
2021-01-24,7.0
2021-01-31,10.0
2021-02-07,7.0
2021-02-14,6.0
2021-02-21,6.0
2021-02-28,5.0
2021-03-07,5.0
2021-03-14,5.0
2021-03-21,5.0
2021-03-28,6.0
2021-04-04,5.0
2021-04-11,6.0
2021-04-18,5.0
2021-04-25,4.0
2021-04-25,4.084668192219679
2021-05-02,4.862700228832952
2021-05-09,4.084668192219679
2021-05-16,4.327803203661327
2021-05-23,3.7442791762013727
2021-05-30,2.0909610983981692
2021-06-06,3.1607551487414187
2021-06-13,2.723112128146453
2021-06-20,2.625858123569794
2021-06-27,3.3552631578947367
2021-07-04,2.431350114416476
2021-07-11,2.3827231121281462
2021-07-18,2.723112128146453
2021-07-25,2.2854691075514872
2021-08-01,2.528604118993135
2021-08-08,2.334096109839817
2021-08-15,2.625858123569794
2021-08-22,1.9937070938215102
2021-08-29,1.3615560640732265
2021-09-05,3.4525171624713957
2021-09-12,3.1607551487414187
2021-09-19,3.306636155606407
2021-09-26,2.625858123569794
2021-10-03,2.1395881006864985
2021-10-10,1.6533180778032035
2021-10-17,1.604691075514874
2021-10-24,1.312929061784897
2021-10-31,1.3615560640732265
2021-11-07,1.2643020594965675
2021-11-14,2.528604118993135
2021-11-21,0.0
2021-11-28,2.625858123569794
2021-12-05,1.3615560640732265
2021-12-12,1.9937070938215102
2021-12-19,1.8478260869565215
2021-12-26,1.1184210526315788
2022-01-02,2.334096109839817
2022-01-09,1.604691075514874
2022-01-16,1.6533180778032035
2022-01-23,2.5772311212814643
2022-01-30,2.820366132723112
2022-02-06,2.3827231121281462
2022-02-13,1.7505720823798625
2022-02-20,2.1882151029748282
2022-02-27,1.312929061784897
2022-03-06,1.6533180778032035
2022-03-13,0.9725400457665903
2022-03-20,1.507437070938215
2022-03-27,1.1184210526315788
2022-04-03,1.312929061784897
2022-04-10,1.410183066361556
2022-04-17,1.312929061784897
2022-04-24,0.7780320366132722
2022-05-01,0.6321510297482837
2022-05-08,1.2643020594965675
2022-05-15,0.0
2022-05-22,1.312929061784897
2022-05-29,1.0211670480549198
2022-06-05,1.1670480549199085
2022-06-12,0.7780320366132722
2022-06-19,0.8752860411899313
2022-06-26,0.9239130434782608
2022-07-03,0.0
2022-07-10,1.410183066361556
2022-07-17,1.1670480549199085
2022-07-24,0.9239130434782608
2022-07-31,0.0
2022-08-07,1.4588100686498855
2022-08-14,1.215675057208238
2022-08-21,0.0
2022-08-28,0.9725400457665903
2022-09-04,0.0
2022-09-11,0.0
2022-09-18,1.6533180778032035
2022-09-25,1.215675057208238
2022-10-02,1.312929061784897
2022-10-09,0.9725400457665903
2022-10-16,1.410183066361556
2022-10-23,1.0211670480549198
2022-10-30,0.7294050343249427
2022-11-06,1.3615560640732265
2022-11-13,0.8266590389016018
2022-11-20,0.8752860411899313
2022-11-27,0.9725400457665903
2022-12-04,1.4588100686498855
2022-12-11,1.215675057208238
2022-12-18,0.9725400457665903
2022-12-25,1.410183066361556
2023-01-01,1.3615560640732265
2023-01-08,1.0211670480549198
2023-01-15,1.0211670480549198
2023-01-22,1.4588100686498855
2023-01-29,1.1670480549199085
2023-02-05,0.8266590389016018
2023-02-12,0.0
2023-02-19,0.9239130434782608
2023-02-26,1.1184210526315788
2023-03-05,0.0
2023-03-12,0.0
2023-03-19,1.507437070938215
2023-03-26,1.0211670480549198
2023-04-02,1.215675057208238
2023-04-09,1.1670480549199085
2023-04-16,1.1670480549199085
2023-04-23,0.9725400457665903
2023-04-30,1.215675057208238
2023-05-07,1.312929061784897
2023-05-14,1.2643020594965675
2023-05-21,1.0211670480549198
2023-05-28,1.1670480549199085
2023-06-04,1.215675057208238
2023-06-11,0.9725400457665903
2023-06-18,1.2643020594965675
2023-06-25,1.2643020594965675
2023-07-02,0.9239130434782608
2023-07-09,0.9239130434782608
2023-07-16,1.5560640732265445
2023-07-23,1.0211670480549198
2023-07-30,1.215675057208238
2023-08-06,0.9239130434782608
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,1.4588100686498855
2023-09-03,0.0
2023-09-10,1.1184210526315788
2023-09-17,1.0697940503432493
2023-09-24,1.0697940503432493
2023-10-01,1.604691075514874
2023-10-08,1.604691075514874
2023-10-15,0.0
2023-10-22,0.8266590389016018
2023-10-29,1.410183066361556
2023-11-05,0.9725400457665903
2023-11-12,1.1670480549199085
2023-11-19,0.0
2023-11-26,0.9239130434782608
2023-12-03,1.701945080091533
2023-12-10,1.2643020594965675
2023-12-17,1.5560640732265445
2023-12-24,1.507437070938215
2023-12-31,1.1184210526315788
2024-01-07,1.3615560640732265
2024-01-14,2.0423340961098395
2024-01-21,1.507437070938215
2024-01-28,1.507437070938215
2024-02-04,1.312929061784897
2024-02-11,1.7505720823798625
2024-02-18,0.0
2024-02-25,0.0
2024-03-03,1.2643020594965675
2024-03-10,1.0697940503432493
2024-03-17,1.0697940503432493
2024-03-24,1.701945080091533
2024-03-31,0.0
2024-04-07,1.4588100686498855
2024-04-14,1.5560640732265445
2024-04-21,0.9725400457665903
2024-04-28,0.8752860411899313
2024-05-05,1.701945080091533
2024-05-12,0.0
2024-05-19,0.0
2024-05-26,0.0
2024-06-02,1.4588100686498855
2024-06-09,1.312929061784897
2024-06-16,1.0211670480549198
2024-06-23,0.0
2024-06-30,1.8478260869565215
2024-07-07,0.9239130434782608
2024-07-14,1.0211670480549198
2024-07-21,1.799199084668192
2024-07-28,1.5560640732265445
2024-08-04,0.8752860411899313
2024-08-11,1.701945080091533
2024-08-18,0.0
2024-08-25,1.0697940503432493
2024-09-01,1.507437070938215
2024-09-08,1.2643020594965675
2024-09-15,0.0
2024-09-22,0.0
2024-09-29,1.3615560640732265
2024-10-06,1.410183066361556
2024-10-13,0.8752860411899313
2024-10-20,1.3615560640732265
2024-10-27,1.799199084668192
2024-11-03,1.1184210526315788
2024-11-10,0.0
2024-11-17,0.9725400457665903
2024-11-24,0.9725400457665903
2024-12-01,1.5560640732265445
2024-12-08,1.3615560640732265
2024-12-15,1.701945080091533
2024-12-22,1.410183066361556
2024-12-29,1.0211670480549198
2025-01-05,1.312929061784897
2025-01-12,1.410183066361556
2025-01-19,1.701945080091533
2025-01-26,1.312929061784897
2025-02-02,1.410183066361556
2025-02-09,1.8478260869565215
2025-02-16,1.604691075514874
2025-02-23,0.0
2025-03-02,1.604691075514874
2025-03-09,1.6533180778032035
2025-03-16,1.701945080091533
2025-03-23,1.410183066361556
2025-03-30,1.9937070938215102
2025-04-06,1.410183066361556
2025-04-13,1.215675057208238
2025-04-20,1.507437070938215
2025-04-27,1.701945080091533
2025-05-04,1.5560640732265445
2025-05-11,1.1184210526315788
2025-05-18,1.410183066361556
2025-05-25,1.5560640732265445
2025-06-01,0.0
2025-06-08,1.3615560640732265
2025-06-15,1.604691075514874
2025-06-22,2.334096109839817
2025-06-29,1.896453089244851
2025-07-06,1.6533180778032035
2025-07-13,1.215675057208238
2025-07-20,1.215675057208238
2025-07-27,1.507437070938215
2025-08-03,0.0
2025-08-10,1.312929061784897
2025-08-17,1.312929061784897
2025-08-24,0.9239130434782608
2025-08-31,0.0
2025-09-07,1.410183066361556
2025-09-14,1.7505720823798625
2025-09-21,1.312929061784897
2025-09-28,1.4588100686498855
2025-10-05,1.410183066361556
2025-10-12,1.896453089244851
2025-10-19,2.3827231121281462
2025-10-26,2.2368421052631575
2025-11-02,1.701945080091533
2025-11-09,1.1184210526315788
2025-11-16,2.1882151029748282
2025-11-23,1.5560640732265445
2025-11-30,2.8689931350114413
2025-12-07,2.1882151029748282
2025-12-14,2.334096109839817
2025-12-21,2.1882151029748282
2025-12-28,1.507437070938215
2026-01-04,2.9662471395881003
2026-01-11,1.701945080091533
2026-01-18,2.625858123569794
2026-01-25,2.0423340961098395
2026-02-01,1.9937070938215102
2026-02-08,1.7505720823798625
2026-02-15,1.701945080091533
2026-02-22,2.1882151029748282
2026-03-01,1.9450800915331805
2026-03-08,1.507437070938215
2026-03-15,1.410183066361556
2026-03-22,1.4588100686498855
2026-03-29,1.410183066361556
2026-04-05,1.507437070938215
2026-04-12,2.334096109839817
2026-04-19,1.0211670480549198
2026-04-26,1.3615560640732265
